Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-June-2023,105.00,106.49,104.90,105.47,105.276989533145040704,30095,467,3168311.00,21358,70.97,1.59,0.47
21-June-2023,108.00,108.00,104.70,105.05,105.338023664854493124,37524,192,3952704.00,24794,66.08,3.30,-2.95
20-June-2023,107.60,107.60,105.70,105.73,106.091078474353353792,9124,195,967975.00,6563,71.93,1.90,-1.87
19-June-2023,106.05,106.87,106.00,106.63,106.549919104759336659,29668,246,3161123.00,26058,87.83,0.87,0.58
16-June-2023,105.12,106.51,105.12,106.00,106.094439960115853948,21061,324,2234455.00,14141,67.14,1.39,0.88
15-June-2023,110.00,110.00,105.50,106.02,106.687809598414856115,43403,623,4630571.00,33781,77.83,4.50,-3.98
14-June-2023,107.00,107.80,106.34,107.00,106.991864406779661016,17700,235,1893756.00,12832,72.50,1.46,0.00
13-June-2023,109.90,109.90,106.52,106.93,107.127727936574170665,23965,383,2567316.00,22653,94.53,3.38,-2.97
12-June-2023,107.00,107.55,106.08,107.29,107.354435099185244481,91193,626,9789973.00,86837,95.22,1.47,0.29
9-June-2023,106.01,107.25,106.01,106.88,106.972108345534407027,13660,214,1461239.00,9113,66.71,1.24,0.87
8-June-2023,104.80,106.95,104.80,106.71,106.472656921754084264,23260,244,2476554.00,16507,70.97,2.15,1.91
7-June-2023,105.30,106.81,105.30,106.52,106.518013870987540661,16293,180,1735498.00,15740,96.61,1.51,1.22
6-June-2023,105.00,106.25,105.00,105.78,105.710345769191384783,29297,255,3096996.00,24269,82.84,1.25,0.78
5-June-2023,104.11,105.50,104.11,105.23,105.171903118270053397,33897,311,3565012.00,22965,67.75,1.39,1.12
2-June-2023,103.96,104.78,103.91,104.73,104.398856022225853897,30595,270,3194083.00,25326,82.78,0.87,0.77
1-June-2023,103.02,104.11,103.02,104.01,103.973275974449224351,7671,88,797579.00,7066,92.11,1.09,0.99
31-May-2023,104.30,104.30,103.90,103.97,103.986448087431693989,4575,92,475738.00,4436,96.96,0.40,-0.33
30-May-2023,104.00,104.13,103.88,104.01,104.022760793778492893,29832,224,3103207.00,26253,88.00,0.25,0.01
29-May-2023,103.06,104.08,103.06,103.99,103.959024690019159165,55326,314,5751637.00,36819,66.55,1.02,0.93
26-May-2023,103.60,103.95,103.35,103.80,103.564918150316644760,41845,219,4333674.00,34877,83.35,0.60,0.20
25-May-2023,104.05,104.17,103.55,103.63,103.797359704054740201,41359,324,4292955.00,36654,88.62,0.62,-0.42
24-May-2023,104.00,104.17,103.92,104.00,104.057095327643570085,69130,451,7193467.00,54405,78.70,0.25,0.00
23-May-2023,104.75,104.75,103.81,104.07,103.953228872698933745,84689,627,8803695.00,81274,95.97,0.94,-0.68
22-May-2023,104.35,104.73,104.00,104.02,104.097667393858029870,59590,743,6203180.00,45033,75.57,0.73,-0.33
19-May-2023,102.27,104.90,102.27,104.26,103.805039855942663841,836889,2946,86873296.00,543722,64.97,2.63,1.99
