Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KRT,RR,22-Jun-2026,116.66,116.80,117.60,116.50,116.55,116.72,116.99,"11,27,717","13,19,27,004.29","3,188","10,93,204",96.94
KRT,RR,23-Jun-2026,116.72,116.90,117.14,115.85,115.99,116.01,116.49,"3,73,135","4,34,64,912.30","9,869","2,92,034",78.26
KRT,RR,24-Jun-2026,116.01,116.49,116.80,115.93,116.03,116.14,116.22,"1,71,895","1,99,78,069.96","4,159","1,39,249",81.01
KRT,RR,25-Jun-2026,116.14,116.40,116.50,115.05,115.05,115.12,115.57,"2,59,119","2,99,45,862.16","3,242","1,88,035",72.57
KRT,RR,29-Jun-2026,115.12,115.12,116.00,115.00,115.72,115.67,115.68,"2,78,308","3,21,95,765.30","2,395","2,17,830",78.27
KRT,RR,30-Jun-2026,115.67,115.98,116.69,115.27,115.51,115.45,115.94,"7,86,152","9,11,48,823.13","7,733","6,71,605",85.43
KRT,RR,01-Jul-2026,115.45,115.89,116.10,114.75,114.83,115.06,115.68,"4,32,489","5,00,28,768.24","4,685","3,52,273",81.45
KRT,RR,02-Jul-2026,115.06,115.10,115.85,115.06,115.27,115.44,115.47,"2,74,981","3,17,53,151.44","5,119","2,24,883",81.78
KRT,RR,03-Jul-2026,115.44,115.90,116.20,114.78,114.90,114.96,115.62,"11,16,496","12,90,91,768.02","3,175","9,52,764",85.34
KRT,RR,06-Jul-2026,114.96,115.30,116.10,115.00,115.20,115.65,115.61,"3,33,561","3,85,63,693.14","4,340","2,50,261",75.03
KRT,RR,07-Jul-2026,115.65,115.75,116.00,115.12,115.57,115.74,115.72,"2,10,880","2,44,03,650.87","10,018","1,55,744",73.85
KRT,RR,08-Jul-2026,115.74,115.70,116.00,115.10,115.68,115.60,115.55,"1,85,416","2,14,25,626.06","2,948","1,47,086",79.33
KRT,RR,09-Jul-2026,115.60,115.75,115.98,115.00,115.01,115.08,115.38,"1,69,938","1,96,07,105.46","13,237","1,36,060",80.06
KRT,RR,10-Jul-2026,115.08,115.65,115.80,115.15,115.50,115.56,115.54,"1,05,553","1,21,95,195.56","2,360","84,242",79.81
KRT,RR,13-Jul-2026,115.56,115.56,115.85,115.37,115.77,115.76,115.65,"99,449","1,15,00,986.71","5,740","81,221",81.67
KRT,RR,14-Jul-2026,115.76,116.49,116.49,115.17,115.34,115.46,115.71,"1,81,596","2,10,12,528.19","3,016","1,56,305",86.07
KRT,RR,15-Jul-2026,115.46,115.64,116.99,115.46,116.70,116.54,116.08,"1,62,671","1,88,83,221.22","2,001","1,32,010",81.15
KRT,RR,16-Jul-2026,116.54,116.78,116.78,115.60,115.81,115.85,115.94,"90,210","1,04,59,039.96","2,534","67,828",75.19
