Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDSPACE,RR,20-Jul-2021,285.56,284.50,286.05,282.20,283.25,284.09,283.98,"1,24,200","3,52,70,040.00",377,"1,03,600",83.41
MINDSPACE,RR,22-Jul-2021,284.09,283.05,285.87,282.20,282.21,282.43,283.15,"83,200","2,35,57,890.00",264,"70,000",84.13
MINDSPACE,RR,23-Jul-2021,282.43,282.43,284.89,281.55,282.60,283.14,282.30,"1,83,000","5,16,60,832.00",469,"1,67,000",91.26
MINDSPACE,RR,26-Jul-2021,283.14,282.00,285.00,281.00,284.20,282.94,282.40,"1,38,400","3,90,84,610.00",403,"98,600",71.24
MINDSPACE,RR,27-Jul-2021,282.94,283.50,285.00,281.25,283.50,284.15,283.75,"1,02,600","2,91,12,714.00",292,"78,400",76.41
MINDSPACE,RR,28-Jul-2021,284.15,284.98,284.98,279.00,283.75,281.91,281.31,"1,58,800","4,46,71,444.00",447,"1,14,400",72.04
MINDSPACE,RR,29-Jul-2021,281.91,284.50,285.25,279.85,280.01,280.02,282.01,"3,05,400","8,61,26,054.00",645,"2,75,200",90.11
MINDSPACE,RR,30-Jul-2021,280.02,280.50,284.60,280.50,282.45,283.54,282.93,"1,20,400","3,40,65,190.00",373,"94,400",78.41
MINDSPACE,RR,02-Aug-2021,283.54,283.80,290.48,283.20,286.66,288.29,287.53,"2,62,600","7,55,05,716.00",652,"2,10,200",80.05
MINDSPACE,RR,03-Aug-2021,288.29,288.29,297.15,287.15,297.00,291.15,290.09,"3,57,000","10,35,62,300.00",784,"3,04,800",85.38
MINDSPACE,RR,04-Aug-2021,291.15,294.80,296.50,285.00,287.05,287.06,292.01,"2,15,200","6,28,40,664.00",820,"1,72,000",79.93
MINDSPACE,RR,05-Aug-2021,287.06,286.80,287.90,284.02,285.50,285.46,286.06,"1,65,000","4,72,00,112.00",381,"1,37,800",83.52
MINDSPACE,RR,06-Aug-2021,285.46,287.00,288.99,284.06,286.31,286.98,287.21,"2,01,200","5,77,86,178.00",291,"1,66,200",82.60
MINDSPACE,RR,09-Aug-2021,286.98,287.87,289.60,286.50,287.50,287.27,287.66,"99,000","2,84,78,180.00",244,"79,200",80.00
MINDSPACE,RR,10-Aug-2021,287.27,287.77,288.50,286.50,287.50,287.13,287.39,"73,000","2,09,79,778.00",223,"63,000",86.30
MINDSPACE,RR,11-Aug-2021,287.13,288.40,288.40,285.02,286.80,286.57,286.58,"86,163","2,46,92,218.18","1,111","82,857",96.16
MINDSPACE,RR,12-Aug-2021,286.57,287.99,294.98,286.01,290.00,290.08,288.98,"2,31,901","6,70,13,865.70",989,"2,12,076",91.45
MINDSPACE,RR,13-Aug-2021,290.08,292.50,294.69,288.05,294.69,294.30,293.75,"73,173","2,14,94,417.38","1,976","57,992",79.25
MINDSPACE,RR,16-Aug-2021,294.30,294.75,297.00,291.00,295.37,296.07,295.14,"66,161","1,95,26,860.10",707,"50,927",76.97
MINDSPACE,RR,17-Aug-2021,296.07,294.50,294.85,290.00,293.00,293.54,293.08,"3,71,637","10,89,19,500.24","1,668","3,41,891",92.00
MINDSPACE,RR,18-Aug-2021,293.54,293.50,294.24,291.00,293.00,293.00,293.14,"5,05,346","14,81,35,110.89",902,"4,96,872",98.32
MINDSPACE,RR,20-Aug-2021,293.00,292.03,292.03,288.00,288.35,288.59,289.73,"1,87,345","5,42,78,568.40","1,431","1,63,942",87.51
MINDSPACE,RR,23-Aug-2021,288.59,289.00,291.90,287.00,287.55,289.60,289.68,"1,76,912","5,12,48,217.35","2,946","1,58,345",89.50
MINDSPACE,RR,24-Aug-2021,289.60,289.89,297.45,288.00,295.00,294.00,291.58,"2,67,155","7,78,97,450.17","2,625","2,36,884",88.67
MINDSPACE,RR,25-Aug-2021,294.00,294.44,298.01,290.25,294.00,295.17,295.07,"3,27,305","9,65,77,075.82","2,931","3,13,401",95.75
MINDSPACE,RR,26-Aug-2021,295.17,297.49,297.50,288.01,289.80,289.03,290.51,"1,21,386","3,52,63,841.46",923,"1,06,532",87.76
MINDSPACE,RR,27-Aug-2021,289.03,289.80,293.00,289.00,289.00,291.37,291.20,"1,27,505","3,71,29,542.64",999,"1,12,002",87.84
MINDSPACE,RR,30-Aug-2021,291.37,290.89,291.90,289.50,289.90,289.98,290.43,"1,27,043","3,68,97,394.26","1,408","1,22,470",96.40
MINDSPACE,RR,31-Aug-2021,289.98,291.00,291.50,289.00,291.00,290.85,290.70,"1,59,459","4,63,55,330.02","2,120","1,34,042",84.06
MINDSPACE,RR,01-Sep-2021,290.85,291.00,291.00,287.99,289.70,288.76,289.65,"3,26,813","9,46,60,035.11","1,088","3,13,881",96.04
MINDSPACE,RR,02-Sep-2021,288.76,291.90,345.00,288.25,288.71,290.01,290.87,"4,52,331","13,15,71,519.26","1,682","4,38,319",96.90
MINDSPACE,RR,03-Sep-2021,290.01,290.90,291.50,288.56,288.66,290.19,289.85,"7,18,669","20,83,05,227.40","2,228","6,22,212",86.58
MINDSPACE,RR,06-Sep-2021,290.19,289.99,291.50,288.75,290.50,290.50,289.93,"1,39,355","4,04,02,643.87","1,466","1,31,720",94.52
MINDSPACE,RR,07-Sep-2021,290.50,290.50,297.90,288.25,297.10,296.70,292.29,"4,19,304","12,25,57,625.12","1,130","3,90,780",93.20
MINDSPACE,RR,08-Sep-2021,296.70,298.99,299.00,290.50,293.00,293.59,292.74,"1,96,144","5,74,18,925.41","1,225","1,69,580",86.46
MINDSPACE,RR,09-Sep-2021,293.59,296.50,300.00,291.55,297.00,296.88,293.40,"14,32,431","42,02,79,884.62","1,634","13,90,399",97.07
MINDSPACE,RR,13-Sep-2021,296.88,298.50,299.75,296.05,298.11,298.79,297.67,"1,51,821","4,51,92,823.46","1,373","1,34,341",88.49
MINDSPACE,RR,14-Sep-2021,298.79,299.09,301.75,296.00,298.00,297.05,298.63,"1,96,324","5,86,27,465.14","1,698","1,83,309",93.37
MINDSPACE,RR,15-Sep-2021,297.05,297.05,298.50,294.50,295.40,295.23,297.05,"77,265","2,29,51,340.74","1,370","62,764",81.23
MINDSPACE,RR,16-Sep-2021,295.23,296.35,299.50,294.00,298.40,298.01,296.58,"1,88,425","5,58,83,646.38","1,573","1,51,049",80.16
MINDSPACE,RR,17-Sep-2021,298.01,299.00,299.00,293.00,296.04,297.46,297.08,"6,89,496","20,48,33,942.59","4,926","6,24,700",90.60
MINDSPACE,RR,20-Sep-2021,297.46,299.00,299.00,293.00,295.50,295.30,295.59,"1,30,772","3,86,54,391.11","1,437","1,15,095",88.01
MINDSPACE,RR,21-Sep-2021,295.30,298.30,298.30,293.00,296.00,295.32,294.93,"65,173","1,92,21,460.43","1,323","58,156",89.23
MINDSPACE,RR,22-Sep-2021,295.32,297.70,298.88,296.00,297.50,297.51,297.43,"46,050","1,36,96,669.56",788,"41,569",90.27
MINDSPACE,RR,23-Sep-2021,297.51,299.50,299.50,297.00,298.00,297.95,298.01,"4,89,115","14,57,61,732.52","1,947","4,82,797",98.71
MINDSPACE,RR,24-Sep-2021,297.95,299.00,299.00,295.50,296.00,295.99,297.72,"2,05,023","6,10,39,838.57",481,"2,02,168",98.61
MINDSPACE,RR,27-Sep-2021,295.99,301.99,301.99,295.70,296.25,296.51,297.11,"1,12,548","3,34,39,378.67","1,622","1,02,045",90.67
MINDSPACE,RR,28-Sep-2021,296.51,299.00,300.85,293.10,294.00,295.94,297.99,"5,45,756","16,26,31,801.37","3,634","4,24,179",77.72
MINDSPACE,RR,29-Sep-2021,295.94,294.83,301.75,294.10,298.00,298.30,299.22,"2,71,032","8,10,97,148.29","2,357","2,54,583",93.93
