Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NXST,RR,22-May-2026,155.97,155.76,157.00,155.76,156.98,156.68,156.58,"1,44,784","2,26,69,916.78","4,045","1,12,995",78.04
NXST,RR,25-May-2026,156.68,157.95,158.61,157.02,158.10,157.88,157.83,"3,05,954","4,82,89,723.77","6,384","2,48,300",81.16
NXST,RR,26-May-2026,157.88,157.90,158.50,156.49,156.80,156.78,157.00,"2,20,112","3,45,56,811.34","6,414","1,82,746",83.02
NXST,RR,27-May-2026,156.78,157.29,157.29,155.42,156.60,156.27,156.06,"1,90,108","2,96,67,589.66","5,849","1,60,185",84.26
NXST,RR,29-May-2026,156.27,157.00,157.20,154.40,155.01,155.20,155.33,"6,14,868","9,55,06,332.34","21,206","4,10,152",66.71
NXST,RR,01-Jun-2026,155.20,156.70,156.80,154.40,154.61,154.68,155.06,"2,11,933","3,28,62,847.54","11,984","1,71,941",81.13
NXST,RR,02-Jun-2026,154.68,155.30,156.00,154.03,154.97,154.78,154.63,"2,40,075","3,71,21,881.26","9,048","1,84,857",77.00
NXST,RR,03-Jun-2026,154.78,154.98,155.10,153.80,154.69,154.90,154.24,"1,43,872","2,21,90,563.40","5,118","1,09,941",76.42
NXST,RR,04-Jun-2026,154.90,154.10,155.20,153.22,154.63,154.63,154.21,"2,63,888","4,06,95,328.97","12,588","2,07,328",78.57
NXST,RR,05-Jun-2026,154.63,155.33,155.84,154.43,155.57,155.37,155.22,"2,09,495","3,25,18,492.60","7,338","1,78,032",84.98
NXST,RR,08-Jun-2026,155.37,155.84,156.70,154.76,156.43,156.54,155.87,"3,51,473","5,47,84,886.11","4,988","3,25,368",92.57
NXST,RR,09-Jun-2026,156.54,156.54,156.54,154.91,155.91,155.85,155.46,"1,99,478","3,10,11,756.78","6,040","1,41,332",70.85
NXST,RR,10-Jun-2026,155.85,155.90,156.30,154.10,154.76,154.84,154.98,"2,40,255","3,72,33,605.98","8,931","1,67,552",69.74
NXST,RR,11-Jun-2026,154.84,154.21,155.63,154.21,154.88,155.03,155.03,"1,16,818","1,81,09,802.39","2,343","99,574",85.24
NXST,RR,12-Jun-2026,155.03,154.80,155.40,154.05,154.70,154.49,154.47,"1,88,651","2,91,41,836.51","3,111","1,49,542",79.27
NXST,RR,15-Jun-2026,154.49,154.49,155.80,154.41,154.85,154.65,155.01,"2,77,897","4,30,76,167.82","4,192","2,24,100",80.64
NXST,RR,16-Jun-2026,154.65,154.70,155.40,154.42,154.70,155.03,154.75,"2,32,523","3,59,83,391.64","5,635","1,94,277",83.55
NXST,RR,17-Jun-2026,155.03,155.03,156.15,154.00,155.40,155.39,155.37,"4,02,297","6,25,04,122.93","5,259","3,21,144",79.83
NXST,RR,18-Jun-2026,155.39,155.00,156.15,154.25,155.80,155.42,155.45,"6,11,967","9,51,32,085.50","2,390","5,61,750",91.79
NXST,RR,19-Jun-2026,155.42,155.42,156.45,154.80,155.80,155.60,155.62,"8,92,497","13,88,92,018.14","7,288","8,09,126",90.66
NXST,RR,22-Jun-2026,155.60,155.60,156.52,155.50,156.03,156.04,155.85,"2,93,891","4,58,04,325.63","7,511","2,67,365",90.97
NXST,RR,23-Jun-2026,156.04,155.54,159.49,155.54,157.13,157.88,156.90,"3,39,934","5,33,35,716.84","7,954","2,74,072",80.63
NXST,RR,24-Jun-2026,157.88,157.69,160.25,157.00,160.00,159.94,158.82,"2,81,096","4,46,43,360.57","7,067","2,16,568",77.04
NXST,RR,25-Jun-2026,159.94,157.70,161.65,157.70,161.50,161.44,160.53,"4,84,997","7,78,56,683.58","8,420","4,10,175",84.57
NXST,RR,29-Jun-2026,161.44,161.50,163.30,161.44,162.85,163.11,162.09,"6,54,625","10,61,09,097.18","10,503","5,85,098",89.38
NXST,RR,30-Jun-2026,163.11,164.40,164.40,163.05,163.45,163.24,163.46,"2,96,032","4,83,88,787.99","4,028","2,65,394",89.65
NXST,RR,01-Jul-2026,163.24,164.70,165.20,161.23,162.21,162.27,162.90,"10,22,243","16,65,20,833.21","12,708","9,48,438",92.78
NXST,RR,02-Jul-2026,162.27,163.90,164.60,163.05,164.50,164.33,164.30,"4,02,846","6,61,87,737.69","12,106","3,54,335",87.96
NXST,RR,03-Jul-2026,164.33,165.00,166.79,162.50,163.00,162.96,164.51,"6,91,789","11,38,07,417.72","13,044","6,03,371",87.22
NXST,RR,06-Jul-2026,162.96,164.70,164.70,163.77,164.20,164.24,164.31,"2,90,082","4,76,63,542.24","11,052","2,46,201",84.87
NXST,RR,07-Jul-2026,164.24,164.94,165.00,162.22,164.39,164.43,162.91,"4,44,438","7,24,03,659.74","11,252","3,30,404",74.34
NXST,RR,08-Jul-2026,164.43,164.70,165.00,162.20,162.64,162.43,163.94,"2,21,503","3,63,13,025.53","7,227","1,69,733",76.63
NXST,RR,09-Jul-2026,162.43,163.44,165.10,162.50,164.97,164.55,164.06,"2,80,101","4,59,54,112.69","4,788","2,50,112",89.29
NXST,RR,10-Jul-2026,164.55,164.95,165.89,164.00,164.73,164.52,164.55,"1,91,690","3,15,42,192.59","4,979","1,12,953",58.92
NXST,RR,13-Jul-2026,164.52,164.99,165.40,164.00,164.24,164.07,164.43,"3,23,018","5,31,14,997.68","6,666","2,22,703",68.94
NXST,RR,14-Jul-2026,164.07,164.92,165.10,164.31,164.87,164.88,164.93,"90,792","1,49,74,425.08","2,250","74,013",81.52
NXST,RR,15-Jul-2026,164.88,164.10,165.40,164.10,164.95,165.00,164.94,"1,80,093","2,97,04,658.06","7,452","1,59,074",88.33
NXST,RR,16-Jul-2026,165.00,165.45,165.98,164.87,165.00,164.98,165.41,"1,26,666","2,09,52,120.00","2,228","1,05,454",83.25
