Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-May-2025,384.00,384.00,378.50,379.96,380.450152346130408287,16410,1046,6243187.00,13625,83.03,5.50,-4.04
9-May-2025,376.00,384.50,374.26,382.69,379.900423088546388637,6618,426,2514181.00,3878,58.60,10.24,6.69
8-May-2025,385.99,385.99,377.83,379.48,380.932190476190476190,21000,962,7999576.00,15725,74.88,8.16,-6.51
7-May-2025,379.50,384.85,379.50,384.32,383.400086000368573008,32558,1007,12482740.00,19090,58.63,5.35,4.82
6-May-2025,379.90,383.90,379.90,381.90,382.005174847106790026,12754,795,4872094.00,9574,75.07,4.00,2.00
5-May-2025,378.80,382.14,376.68,379.90,379.840355943190523896,16969,697,6445511.00,12694,74.81,5.46,1.10
2-May-2025,381.55,381.97,374.29,377.00,379.181927339901477832,32480,795,12315829.00,18756,57.75,7.68,-4.55
30-April-2025,382.50,385.50,381.15,381.97,382.793838453572661373,11588,472,4435815.00,8937,77.12,4.35,-0.53
29-April-2025,384.25,384.25,380.25,382.14,383.164668515701887805,22354,522,8565263.00,20825,93.16,4.00,-2.11
28-April-2025,379.55,384.00,376.42,382.87,379.980882615686975165,16791,569,6380259.00,12589,74.97,7.58,3.32
25-April-2025,379.55,381.16,379.50,380.11,380.277523274715531254,6767,174,2573338.00,6040,89.26,1.66,0.56
24-April-2025,380.80,381.71,379.10,379.84,380.134273451870018393,1631,181,619999.00,1461,89.58,2.61,-0.96
23-April-2025,374.50,385.00,374.50,380.80,379.961808889577203035,32285,1083,12267067.00,22432,69.48,10.50,6.30
22-April-2025,368.55,375.22,368.50,373.67,369.034802006567098585,2876156,2338,1061401660.00,2819278,98.02,6.72,5.12
21-April-2025,369.87,371.69,368.39,370.03,369.313945910720104268,12276,571,4533698.00,7477,60.91,3.30,0.16
17-April-2025,372.50,372.50,368.85,369.26,369.770229770229770229,6006,370,2220840.00,4240,70.60,3.65,-3.24
16-April-2025,372.70,372.70,368.50,372.06,370.515715034049240440,7636,474,2829258.00,5574,73.00,4.20,-0.64
15-April-2025,372.94,374.50,368.49,371.83,371.831713381555153707,8848,407,3289967.00,5077,57.38,6.01,-1.11
11-April-2025,375.80,375.80,368.90,370.10,371.124809043690803544,6546,510,2429383.00,3359,51.31,6.90,-5.70
9-April-2025,368.70,376.00,368.25,373.82,373.816467630421118793,4773,285,1784226.00,3045,63.80,7.75,5.12
8-April-2025,375.90,378.08,366.55,368.13,370.654726636143280366,29704,685,11009928.00,26475,89.13,11.53,-7.77
7-April-2025,373.00,379.00,366.33,374.12,374.333274084607180945,45008,1386,16847992.00,31672,70.37,12.67,1.12
4-April-2025,374.00,379.00,373.53,377.90,375.695129426186996086,21209,973,7968118.00,14944,70.46,5.47,3.90
3-April-2025,372.40,377.67,369.73,374.96,373.163811025879991397,13949,407,5205262.00,9638,69.09,7.94,2.56
2-April-2025,366.60,374.00,366.00,371.84,370.151861571994128375,22481,646,8321384.00,14693,65.36,8.00,5.24
1-April-2025,361.30,373.00,361.30,367.33,368.873708828688364841,25655,1262,9463455.00,16160,62.99,11.70,6.03
28-March-2025,373.99,373.99,362.96,366.10,368.351628021706956092,8108,400,2986595.00,5690,70.18,11.03,-7.89
27-March-2025,363.00,371.00,363.00,369.15,367.777639442231075697,12048,410,4430985.00,11084,92.00,8.00,6.15
26-March-2025,364.65,364.70,363.00,363.86,363.750020714226530781,24138,630,8780198.00,21727,90.01,1.70,-0.79
25-March-2025,358.92,364.75,358.80,364.45,361.946651223001975880,14677,725,5312291.00,11178,76.16,5.95,5.53
24-March-2025,355.92,359.93,355.45,356.38,356.676315481073479432,8533,1051,3043519.00,6615,77.52,4.48,0.46
21-March-2025,364.30,364.30,355.11,355.91,358.606404290073042191,32447,923,11635702.00,28729,88.54,9.19,-8.39
20-March-2025,364.50,365.00,359.50,363.69,362.481144343302990897,7690,742,2787480.00,4586,59.64,5.50,-0.81
19-March-2025,360.60,365.00,359.00,362.72,363.136858828869723104,8812,513,3199962.00,4482,50.86,6.00,2.12
18-March-2025,365.00,366.12,357.24,362.79,360.386066935675290766,8426,1049,3036613.00,5410,64.21,8.88,-2.21
17-March-2025,370.55,373.00,358.50,365.11,365.330858330858330858,23569,1364,8610483.00,9388,39.83,14.50,-5.44
13-March-2025,369.40,369.40,361.49,367.12,367.485719978746014877,15056,564,5532865.00,11355,75.42,7.91,-2.28
12-March-2025,359.59,369.72,359.59,364.52,365.444920702957565366,9332,407,3410332.00,5400,57.87,10.13,4.93
11-March-2025,359.50,363.77,356.00,359.70,358.772687870907514836,14997,614,5380514.00,9968,66.47,7.77,0.20
10-March-2025,361.00,364.98,356.57,361.64,361.954505446143690174,18178,948,6579609.00,14159,77.89,8.41,0.64
7-March-2025,359.90,363.69,358.12,360.73,360.664482869723982386,9311,317,3358147.00,6854,73.61,5.57,0.83
6-March-2025,360.60,365.22,357.15,358.12,361.023840399002493765,10025,679,3619264.00,6881,68.64,8.07,-2.48
5-March-2025,367.00,373.98,360.33,362.04,368.872876684872475823,19957,1055,7361596.00,11394,57.09,13.65,-4.96
4-March-2025,363.00,368.92,362.10,367.26,365.069889647924330005,5709,394,2084184.00,4218,73.88,6.82,4.26
3-March-2025,364.26,365.00,360.10,363.66,362.875813017640728089,21371,778,7755019.00,16880,78.99,4.90,-0.60
28-February-2025,367.00,367.00,360.00,364.77,364.994034015018847763,33691,1832,12297014.00,30284,89.89,7.00,-2.23
27-February-2025,356.85,369.00,356.37,367.56,364.374809354346720894,39340,1388,14334505.00,35254,89.61,12.63,10.71
25-February-2025,355.55,358.22,354.76,355.48,356.326787358085302239,3259,249,1161269.00,2165,66.43,3.46,-0.07
24-February-2025,365.00,366.47,355.00,355.54,358.673554643789630734,13405,877,4808019.00,6990,52.14,11.47,-9.46
21-February-2025,360.00,363.99,355.14,363.57,361.791310417030186703,28655,906,10367130.00,21728,75.83,8.85,3.57
20-February-2025,349.01,358.51,349.01,357.53,353.948060941828254847,2888,356,1022202.00,2207,76.42,9.50,8.52
19-February-2025,359.00,359.00,342.55,352.04,351.799724205061648280,36984,1636,13010961.00,27104,73.29,16.45,-6.96
18-February-2025,358.50,359.74,355.62,357.17,357.274812077971716142,7849,518,2804250.00,6740,85.87,4.12,-1.33
17-February-2025,360.00,362.11,358.01,359.65,359.249938134125216530,8082,379,2903458.00,5754,71.20,4.10,-0.35
14-February-2025,359.00,363.50,358.00,359.55,359.275502606105733432,9401,919,3377549.00,8200,87.22,5.50,0.55
13-February-2025,360.71,363.90,358.66,360.07,359.930728241563055062,23646,535,8510922.00,20444,86.46,5.24,-0.64
12-February-2025,365.24,365.24,360.00,362.00,361.248191978961209730,9126,558,3296751.00,6953,76.19,5.24,-3.24
11-February-2025,364.00,367.18,362.90,363.96,365.102799227799227799,2072,179,756493.00,1716,82.82,4.28,-0.04
10-February-2025,365.95,367.30,362.95,365.93,364.958224543080939947,1532,201,559116.00,1053,68.73,4.35,-0.02
7-February-2025,372.00,372.00,364.04,365.39,368.860014139985860014,19802,887,7304166.00,15798,79.78,7.96,-6.61
6-February-2025,362.64,374.58,361.31,370.14,366.502054074710996465,10467,746,3836177.00,5714,54.59,13.27,7.50
5-February-2025,365.55,367.32,361.85,363.78,363.925295290688755944,6519,555,2372429.00,5547,85.09,5.47,-1.77
4-February-2025,371.00,371.00,364.00,365.30,366.536199095022624434,2652,408,972054.00,2063,77.79,7.00,-5.70
3-February-2025,372.00,372.00,366.10,370.11,369.816288088642659279,9025,650,3337592.00,7578,83.97,5.90,-1.89
1-February-2025,372.00,372.39,368.00,369.10,369.097661420797176055,6799,465,2509495.00,5604,82.42,4.39,-2.90
31-January-2025,370.50,374.19,368.00,370.38,370.974755894260538223,8398,610,3115446.00,5906,70.33,6.19,-0.12
30-January-2025,364.95,375.92,363.50,372.23,367.145414341370959250,9497,658,3486780.00,6248,65.79,12.42,7.28
29-January-2025,364.88,368.90,357.55,365.87,365.321570756424176619,5526,546,2018767.00,3574,64.68,11.35,0.99
28-January-2025,368.60,368.60,360.50,362.86,361.890428334471655771,10249,589,3709015.00,7937,77.44,8.10,-5.74
27-January-2025,362.11,366.95,361.35,365.55,362.761599344978165938,7328,791,2658317.00,4806,65.58,5.60,3.44
24-January-2025,363.00,368.00,363.00,364.96,364.488465974625144175,3468,410,1264046.00,2265,65.31,5.00,1.96
23-January-2025,362.65,365.83,360.90,362.32,362.388657648283038501,9610,466,3482555.00,8078,84.06,4.93,-0.33
22-January-2025,374.10,375.64,363.00,365.83,369.587240009347978499,21395,1027,7907319.00,17008,79.50,12.64,-8.27
21-January-2025,370.10,375.10,370.10,374.24,374.147756686798964624,4636,320,1734549.00,3219,69.43,5.00,4.14
20-January-2025,378.00,378.00,362.23,372.62,371.218894123481279444,20165,992,7485629.00,9730,48.25,15.77,-5.38
17-January-2025,372.50,379.00,372.50,376.23,376.468438538205980066,5117,522,1926389.00,3370,65.86,6.50,3.73
16-January-2025,376.45,376.99,372.08,376.05,374.344141186127642109,4873,464,1824179.00,3368,69.12,4.91,-0.40
15-January-2025,377.80,377.80,371.33,374.17,374.322805728975394785,2723,261,1019281.00,1915,70.33,6.47,-3.63
14-January-2025,371.53,377.27,366.00,375.32,373.802071346375143843,2607,281,974502.00,1797,68.93,11.27,3.79
13-January-2025,378.40,378.40,367.50,371.46,371.950995793847869051,19733,1055,7339709.00,14765,74.82,10.90,-6.94
10-January-2025,372.00,379.90,370.00,377.21,373.288272301984190998,6199,344,2314014.00,3763,60.70,9.90,5.21
