"DateTime","KRTRRN"
"2026-05-12 00:00:00",117.36
"2026-05-13 00:00:00",119.1
"2026-05-14 00:00:00",118.5
"2026-05-15 00:00:00",116
"2026-05-18 00:00:00",118.69
"2026-05-19 00:00:00",116.59
"2026-05-20 00:00:00",116.72
"2026-05-21 00:00:00",116.52
"2026-05-22 00:00:00",116.88
"2026-05-25 00:00:00",116.12
"2026-05-26 00:00:00",117.16
"2026-05-27 00:00:00",116.95
"2026-05-29 00:00:00",116.2
"2026-06-01 00:00:00",116.4
"2026-06-02 00:00:00",116.5
"2026-06-03 00:00:00",116.52
"2026-06-04 00:00:00",116.6
"2026-06-05 00:00:00",117
"2026-06-08 00:00:00",116.4
"2026-06-09 00:00:00",117.18
"2026-06-10 00:00:00",117.4
"2026-06-11 00:00:00",117.5
"2026-06-12 00:00:00",116.2
"2026-06-15 00:00:00",117.7
"2026-06-16 00:00:00",116.01
"2026-06-17 00:00:00",116.37
"2026-06-18 00:00:00",116.65
"2026-06-19 00:00:00",117
"2026-06-22 00:00:00",116.55
"2026-06-23 00:00:00",115.99
"2026-06-24 00:00:00",116.03
"2026-06-25 00:00:00",115.05
"2026-06-29 00:00:00",115.72
"2026-06-30 00:00:00",115.51
"2026-07-01 00:00:00",114.83
"2026-07-02 00:00:00",115.27
"2026-07-03 00:00:00",114.9
"2026-07-06 00:00:00",115.2
"2026-07-07 00:00:00",115.57
"2026-07-08 00:00:00",115.68
"2026-07-09 00:00:00",115.01
"2026-07-10 00:00:00",115.5
"2026-07-13 00:00:00",115.77
"2026-07-14 00:00:00",115.34
"2026-07-15 00:00:00",116.7
